Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,3,0.7152,0.7177,0.7152,0.7161,0.8455
RobustScaler,5,0.7129,0.7142,0.7129,0.7134,0.8487
RobustScaler,7,0.7112,0.7121,0.7112,0.7115,0.8501
StandardScaler,3,0.6998,0.7003,0.6998,0.7,0.8326
RobustScaler,9,0.697,0.698,0.697,0.6974,0.8474
StandardScaler,5,0.6936,0.6932,0.6936,0.6933,0.8379
MinMaxScaler,3,0.6868,0.6863,0.6868,0.6865,0.8213
MinMaxScaler,5,0.685,0.6846,0.685,0.6848,0.8235
StandardScaler,7,0.6828,0.6825,0.6828,0.6826,0.8331
StandardScaler,9,0.672,0.6718,0.672,0.6719,0.8288
MinMaxScaler,7,0.6703,0.6703,0.6703,0.6703,0.8195
MinMaxScaler,9,0.6561,0.6552,0.6561,0.6556,0.8142
NoScaler,3,0.6345,0.6339,0.6345,0.6341,0.7774
NoScaler,7,0.6345,0.6341,0.6345,0.6342,0.7852
NoScaler,5,0.6305,0.6295,0.6305,0.6299,0.7823
NoScaler,9,0.6214,0.6206,0.6214,0.6209,0.7846
Normalizer,5,0.6151,0.614,0.6151,0.6144,0.7616
Normalizer,3,0.6128,0.6127,0.6128,0.6127,0.755
Normalizer,7,0.606,0.6049,0.606,0.6052,0.765
Normalizer,9,0.5935,0.5924,0.5935,0.5927,0.7603
