Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,3,0.7152,0.7153,0.7152,0.715,0.8451
RobustScaler,5,0.714,0.7142,0.714,0.7141,0.8572
RobustScaler,9,0.7106,0.7128,0.7106,0.7115,0.8547
StandardScaler,5,0.7095,0.7092,0.7095,0.7092,0.8489
RobustScaler,7,0.7089,0.7104,0.7089,0.7095,0.8549
StandardScaler,3,0.7004,0.7002,0.7004,0.6996,0.8394
StandardScaler,7,0.6907,0.691,0.6907,0.6906,0.8456
MinMaxScaler,5,0.6907,0.6907,0.6907,0.6904,0.8325
MinMaxScaler,3,0.6845,0.6842,0.6845,0.6835,0.8254
StandardScaler,9,0.6828,0.6824,0.6828,0.6825,0.8447
MinMaxScaler,7,0.6754,0.6751,0.6754,0.6751,0.8296
MinMaxScaler,9,0.6652,0.6647,0.6652,0.6647,0.8253
NoScaler,3,0.6487,0.6486,0.6487,0.6485,0.78
NoScaler,5,0.6356,0.6342,0.6356,0.6346,0.7837
NoScaler,7,0.6339,0.6333,0.6339,0.6334,0.7857
Normalizer,3,0.6333,0.6329,0.6333,0.633,0.7684
NoScaler,9,0.6219,0.6214,0.6219,0.6216,0.7813
Normalizer,5,0.6214,0.62,0.6214,0.6204,0.776
Normalizer,7,0.6055,0.6051,0.6055,0.6053,0.7685
Normalizer,9,0.5918,0.5909,0.5918,0.5912,0.7613
