Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,3,0.7186,0.7213,0.7186,0.7194,0.8451
RobustScaler,5,0.7163,0.7174,0.7163,0.7167,0.8495
RobustScaler,7,0.7078,0.7083,0.7078,0.7079,0.8503
RobustScaler,9,0.7027,0.7035,0.7027,0.7029,0.8466
StandardScaler,3,0.6958,0.6968,0.6958,0.6961,0.8349
StandardScaler,5,0.6936,0.6936,0.6936,0.6935,0.8387
MinMaxScaler,5,0.685,0.6848,0.685,0.6848,0.8225
MinMaxScaler,3,0.6839,0.6843,0.6839,0.6839,0.8208
StandardScaler,7,0.6799,0.6801,0.6799,0.6799,0.8322
StandardScaler,9,0.6725,0.6733,0.6725,0.6727,0.8316
MinMaxScaler,7,0.6691,0.6694,0.6691,0.6691,0.8171
MinMaxScaler,9,0.6532,0.6531,0.6532,0.6529,0.8125
NoScaler,7,0.6356,0.6354,0.6356,0.635,0.7848
NoScaler,3,0.6345,0.6338,0.6345,0.634,0.7775
NoScaler,5,0.631,0.6301,0.631,0.6302,0.7825
NoScaler,9,0.6219,0.6212,0.6219,0.6208,0.784
Normalizer,5,0.6163,0.6152,0.6163,0.6152,0.7619
Normalizer,3,0.6134,0.6131,0.6134,0.6131,0.756
Normalizer,7,0.61,0.6092,0.61,0.6083,0.7645
Normalizer,9,0.5958,0.5952,0.5958,0.5937,0.7605
