Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,7,0.7205,0.7201,0.7205,0.7197,0.854
RobustScaler,5,0.7188,0.7185,0.7188,0.7182,0.8463
RobustScaler,3,0.7114,0.7109,0.7114,0.7106,0.8371
RobustScaler,9,0.7085,0.7076,0.7085,0.7076,0.8525
StandardScaler,7,0.7,0.6988,0.7,0.6987,0.841
StandardScaler,3,0.6955,0.6947,0.6955,0.695,0.8318
StandardScaler,5,0.6886,0.6871,0.6886,0.6876,0.8365
StandardScaler,9,0.6869,0.6854,0.6869,0.6852,0.8377
MinMaxScaler,3,0.6795,0.6785,0.6795,0.6788,0.8155
MinMaxScaler,7,0.6733,0.6721,0.6733,0.6722,0.8204
MinMaxScaler,5,0.6699,0.6685,0.6699,0.6689,0.8221
MinMaxScaler,9,0.6523,0.6511,0.6523,0.6512,0.8143
NoScaler,5,0.6472,0.6464,0.6472,0.6467,0.7875
NoScaler,3,0.6466,0.6459,0.6466,0.6462,0.7829
NoScaler,7,0.6466,0.6453,0.6466,0.6455,0.787
NoScaler,9,0.6347,0.6332,0.6347,0.6333,0.7806
Normalizer,5,0.6301,0.6291,0.6301,0.6294,0.7767
Normalizer,7,0.6295,0.6287,0.6295,0.6289,0.7707
Normalizer,3,0.6284,0.6281,0.6284,0.6282,0.7701
Normalizer,9,0.6176,0.6167,0.6176,0.6165,0.7643
