Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,3,0.6987,0.7015,0.6987,0.6997,0.8255
RobustScaler,5,0.6913,0.693,0.6913,0.692,0.8314
RobustScaler,7,0.6862,0.689,0.6862,0.6872,0.8311
StandardScaler,7,0.685,0.6864,0.685,0.6855,0.8319
StandardScaler,3,0.6839,0.6863,0.6839,0.6848,0.8239
StandardScaler,9,0.6822,0.6841,0.6822,0.6828,0.8312
StandardScaler,5,0.6805,0.6819,0.6805,0.681,0.8317
RobustScaler,9,0.6742,0.6765,0.6742,0.6751,0.8319
MinMaxScaler,3,0.6703,0.6726,0.6703,0.6711,0.8103
MinMaxScaler,5,0.6703,0.6717,0.6703,0.6707,0.8192
MinMaxScaler,7,0.6606,0.6607,0.6606,0.6606,0.8189
MinMaxScaler,9,0.6589,0.6588,0.6589,0.6589,0.8181
NoScaler,3,0.6327,0.6331,0.6327,0.6328,0.7714
NoScaler,5,0.6265,0.6285,0.6265,0.6272,0.7794
Normalizer,3,0.6185,0.6196,0.6185,0.619,0.7657
Normalizer,5,0.6163,0.6179,0.6163,0.6167,0.7698
NoScaler,7,0.6151,0.6171,0.6151,0.6158,0.7753
NoScaler,9,0.6123,0.614,0.6123,0.6129,0.7747
Normalizer,7,0.6072,0.6096,0.6072,0.6078,0.7689
Normalizer,9,0.6072,0.6101,0.6072,0.6081,0.76
