Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,3,0.714,0.7151,0.714,0.7138,0.8438
RobustScaler,9,0.7118,0.7144,0.7118,0.7127,0.856
RobustScaler,7,0.7101,0.7122,0.7101,0.711,0.8553
RobustScaler,5,0.7078,0.709,0.7078,0.7079,0.8552
StandardScaler,5,0.7072,0.708,0.7072,0.7069,0.8484
StandardScaler,3,0.6993,0.6993,0.6993,0.6982,0.8405
StandardScaler,7,0.6913,0.6919,0.6913,0.691,0.8486
MinMaxScaler,5,0.6896,0.6902,0.6896,0.6893,0.8333
StandardScaler,9,0.6828,0.6833,0.6828,0.6826,0.8456
MinMaxScaler,3,0.6805,0.6805,0.6805,0.6793,0.8248
MinMaxScaler,7,0.6754,0.6757,0.6754,0.675,0.8312
MinMaxScaler,9,0.6634,0.6639,0.6634,0.6629,0.8265
NoScaler,3,0.6481,0.6483,0.6481,0.6481,0.781
Normalizer,3,0.635,0.635,0.635,0.6348,0.7691
NoScaler,7,0.6339,0.6346,0.6339,0.6338,0.7854
NoScaler,5,0.6293,0.6281,0.6293,0.6286,0.7841
NoScaler,9,0.6254,0.6262,0.6254,0.6254,0.7826
Normalizer,5,0.6168,0.616,0.6168,0.6163,0.7779
Normalizer,7,0.6049,0.6057,0.6049,0.6052,0.7693
Normalizer,9,0.5947,0.5951,0.5947,0.5945,0.7619
