Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,5,0.7248,0.7262,0.7248,0.7254,0.8548
StandardScaler,5,0.7209,0.7217,0.7209,0.7212,0.8488
StandardScaler,7,0.7157,0.7162,0.7157,0.7159,0.8556
RobustScaler,3,0.7157,0.7175,0.7157,0.7164,0.838
StandardScaler,3,0.7146,0.7152,0.7146,0.7149,0.8358
RobustScaler,7,0.7135,0.7148,0.7135,0.7141,0.8577
StandardScaler,9,0.7044,0.7048,0.7044,0.7046,0.8501
RobustScaler,9,0.7021,0.7039,0.7021,0.7029,0.8545
MinMaxScaler,3,0.6981,0.6994,0.6981,0.6986,0.8215
MinMaxScaler,5,0.6879,0.6898,0.6879,0.6886,0.83
MinMaxScaler,7,0.6828,0.6842,0.6828,0.6833,0.8362
MinMaxScaler,9,0.6697,0.6707,0.6697,0.6701,0.8293
NoScaler,5,0.664,0.6641,0.664,0.6641,0.8002
NoScaler,3,0.6555,0.6554,0.6555,0.6554,0.7905
Normalizer,5,0.647,0.6467,0.647,0.6468,0.7842
NoScaler,9,0.6413,0.6402,0.6413,0.6402,0.7984
Normalizer,3,0.6401,0.6404,0.6401,0.6402,0.781
NoScaler,7,0.6379,0.637,0.6379,0.6373,0.7986
Normalizer,9,0.6157,0.615,0.6157,0.6151,0.7735
Normalizer,7,0.6094,0.6086,0.6094,0.6088,0.7767
