Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,7,0.7148,0.7141,0.7148,0.7142,0.8523
RobustScaler,5,0.7131,0.7126,0.7131,0.7127,0.8452
RobustScaler,3,0.7102,0.7096,0.7102,0.7098,0.8364
RobustScaler,9,0.7074,0.7067,0.7074,0.707,0.8519
StandardScaler,7,0.6949,0.6933,0.6949,0.6936,0.8408
StandardScaler,3,0.6943,0.6935,0.6943,0.6937,0.8317
StandardScaler,9,0.6841,0.6823,0.6841,0.6825,0.8389
StandardScaler,5,0.683,0.6813,0.683,0.6818,0.8364
MinMaxScaler,3,0.6761,0.675,0.6761,0.6751,0.8146
MinMaxScaler,7,0.6693,0.668,0.6693,0.6682,0.8201
MinMaxScaler,5,0.6682,0.6668,0.6682,0.6671,0.8216
MinMaxScaler,9,0.6506,0.6492,0.6506,0.6493,0.8146
NoScaler,3,0.646,0.6462,0.646,0.6461,0.7815
NoScaler,7,0.642,0.6415,0.642,0.6417,0.787
NoScaler,5,0.6403,0.6404,0.6403,0.6403,0.786
NoScaler,9,0.6352,0.6343,0.6352,0.6346,0.7799
Normalizer,3,0.6301,0.6307,0.6301,0.6304,0.7706
Normalizer,7,0.6256,0.6255,0.6256,0.6255,0.7722
Normalizer,5,0.6233,0.6228,0.6233,0.623,0.775
Normalizer,9,0.617,0.6169,0.617,0.6168,0.7663
