Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,3,0.6842,0.8281,0.6795,0.7465,0.7137
RobustScaler,5,0.6579,0.8421,0.6154,0.7111,0.7491
StandardScaler,5,0.6579,0.8679,0.5897,0.7023,0.7071
NoScaler,9,0.6491,0.8654,0.5769,0.6923,0.7171
StandardScaler,3,0.6491,0.8519,0.5897,0.697,0.7204
RobustScaler,9,0.6491,0.8519,0.5897,0.697,0.7431
NoScaler,5,0.6491,0.8393,0.6026,0.7015,0.6684
RobustScaler,7,0.6491,0.8519,0.5897,0.697,0.7484
RobustScaler,3,0.6491,0.8167,0.6282,0.7101,0.7313
StandardScaler,7,0.6404,0.8491,0.5769,0.687,0.7085
NoScaler,7,0.6316,0.8214,0.5897,0.6866,0.6921
MinMaxScaler,3,0.6228,0.8302,0.5641,0.6718,0.6891
StandardScaler,9,0.614,0.84,0.5385,0.6562,0.7124
MinMaxScaler,7,0.6053,0.8367,0.5256,0.6457,0.6823
MinMaxScaler,9,0.5965,0.8478,0.5,0.629,0.6968
MinMaxScaler,5,0.5877,0.8039,0.5256,0.6357,0.6661
Normalizer,5,0.5351,0.7049,0.5513,0.6187,0.529
Normalizer,9,0.5351,0.7119,0.5385,0.6131,0.5413
Normalizer,3,0.5175,0.6716,0.5769,0.6207,0.5194
Normalizer,7,0.5175,0.7018,0.5128,0.5926,0.5345
