Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,3,0.6579,0.8286,0.6824,0.7484,0.6499
RobustScaler,5,0.6316,0.8308,0.6353,0.72,0.6566
StandardScaler,3,0.614,0.8361,0.6,0.6986,0.7032
NoScaler,5,0.614,0.8154,0.6235,0.7067,0.6813
NoScaler,3,0.6053,0.8125,0.6118,0.698,0.6625
NoScaler,9,0.6053,0.8448,0.5765,0.6853,0.6822
StandardScaler,5,0.6053,0.8448,0.5765,0.6853,0.6799
StandardScaler,7,0.6053,0.8704,0.5529,0.6763,0.6822
NoScaler,7,0.5965,0.8197,0.5882,0.6849,0.6653
MinMaxScaler,5,0.5965,0.8545,0.5529,0.6714,0.6698
MinMaxScaler,3,0.5789,0.8246,0.5529,0.662,0.6651
StandardScaler,9,0.5702,0.86,0.5059,0.637,0.6909
MinMaxScaler,9,0.5702,0.8462,0.5176,0.6423,0.685
RobustScaler,7,0.5702,0.8103,0.5529,0.6573,0.6765
RobustScaler,9,0.5614,0.7869,0.5647,0.6575,0.6639
Normalizer,7,0.5526,0.7833,0.5529,0.6483,0.5998
MinMaxScaler,7,0.5526,0.84,0.4941,0.6222,0.6669
Normalizer,3,0.5526,0.7742,0.5647,0.6531,0.53
Normalizer,5,0.5439,0.7895,0.5294,0.6338,0.5858
Normalizer,9,0.5351,0.7759,0.5294,0.6294,0.5757
