Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,5,0.6667,0.7317,0.7895,0.7595,0.678
RobustScaler,3,0.6667,0.7262,0.8026,0.7625,0.688
Normalizer,9,0.6491,0.6765,0.9079,0.7753,0.625
RobustScaler,7,0.6491,0.7045,0.8158,0.7561,0.6807
Normalizer,7,0.6316,0.67,0.8816,0.7614,0.6333
NoScaler,9,0.6316,0.6771,0.8553,0.7558,0.6539
RobustScaler,9,0.6316,0.6932,0.8026,0.7439,0.6898
MinMaxScaler,3,0.6316,0.6848,0.8289,0.75,0.6247
NoScaler,5,0.6228,0.6737,0.8421,0.7485,0.6233
MinMaxScaler,7,0.6228,0.6667,0.8684,0.7543,0.5997
StandardScaler,9,0.6228,0.6667,0.8684,0.7543,0.6397
StandardScaler,5,0.6228,0.6854,0.8026,0.7394,0.6498
NoScaler,7,0.6228,0.6701,0.8553,0.7514,0.633
MinMaxScaler,5,0.614,0.6702,0.8289,0.7412,0.5874
MinMaxScaler,9,0.614,0.6633,0.8553,0.7471,0.6373
StandardScaler,7,0.614,0.6739,0.8158,0.7381,0.6271
StandardScaler,3,0.614,0.6818,0.7895,0.7317,0.5859
Normalizer,3,0.614,0.6702,0.8289,0.7412,0.5448
Normalizer,5,0.614,0.66,0.8684,0.75,0.5918
NoScaler,3,0.614,0.6739,0.8158,0.7381,0.5651
