Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,5,0.7193,0.7857,0.825,0.8049,0.7156
NoScaler,3,0.7018,0.7875,0.7875,0.7875,0.7162
RobustScaler,7,0.7018,0.7396,0.8875,0.8068,0.7355
RobustScaler,3,0.7018,0.7556,0.85,0.8,0.7276
StandardScaler,5,0.693,0.7586,0.825,0.7904,0.6744
StandardScaler,7,0.6842,0.7391,0.85,0.7907,0.6932
Normalizer,9,0.6842,0.7157,0.9125,0.8022,0.664
StandardScaler,3,0.6842,0.7391,0.85,0.7907,0.657
RobustScaler,5,0.6754,0.7416,0.825,0.7811,0.7079
RobustScaler,9,0.6754,0.7312,0.85,0.7861,0.7399
MinMaxScaler,7,0.6754,0.7416,0.825,0.7811,0.6781
MinMaxScaler,3,0.6667,0.7386,0.8125,0.7738,0.6206
MinMaxScaler,5,0.6667,0.7386,0.8125,0.7738,0.6471
Normalizer,3,0.6667,0.7333,0.825,0.7765,0.6437
Normalizer,5,0.6667,0.7283,0.8375,0.7791,0.6579
NoScaler,9,0.6579,0.7253,0.825,0.7719,0.67
NoScaler,7,0.6579,0.7356,0.8,0.7665,0.6778
Normalizer,7,0.6491,0.7128,0.8375,0.7701,0.6246
StandardScaler,9,0.6404,0.7191,0.8,0.7574,0.6675
MinMaxScaler,9,0.614,0.7,0.7875,0.7412,0.636
