Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,5,0.7281,0.764,0.8718,0.8144,0.692
RobustScaler,7,0.7193,0.7447,0.8974,0.814,0.7105
RobustScaler,3,0.7193,0.7674,0.8462,0.8049,0.6916
StandardScaler,3,0.7105,0.7922,0.7821,0.7871,0.6845
RobustScaler,9,0.7105,0.7368,0.8974,0.8092,0.6925
NoScaler,7,0.7018,0.75,0.8462,0.7952,0.7336
NoScaler,9,0.693,0.7363,0.859,0.7929,0.7315
StandardScaler,5,0.6754,0.7412,0.8077,0.773,0.6458
MinMaxScaler,3,0.6754,0.747,0.7949,0.7702,0.6236
MinMaxScaler,7,0.6667,0.7222,0.8333,0.7738,0.6572
StandardScaler,7,0.6667,0.7174,0.8462,0.7765,0.6622
MinMaxScaler,5,0.6579,0.7294,0.7949,0.7607,0.6405
MinMaxScaler,9,0.6579,0.7143,0.8333,0.7692,0.6444
Normalizer,9,0.6491,0.6863,0.8974,0.7778,0.5734
NoScaler,5,0.6491,0.7262,0.7821,0.7531,0.7058
StandardScaler,9,0.6404,0.6989,0.8333,0.7602,0.6373
Normalizer,7,0.6404,0.6796,0.8974,0.7735,0.5696
NoScaler,3,0.6404,0.7176,0.7821,0.7485,0.6489
Normalizer,5,0.6228,0.6842,0.8333,0.7514,0.5853
Normalizer,3,0.5789,0.6667,0.7692,0.7143,0.5235
