Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,5,0.7719,0.8588,0.8391,0.8488,0.7882
MinMaxScaler,7,0.7632,0.8333,0.8621,0.8475,0.7246
NoScaler,9,0.7632,0.8191,0.8851,0.8508,0.7233
NoScaler,7,0.7544,0.8105,0.8851,0.8462,0.7299
NoScaler,5,0.7368,0.8202,0.8391,0.8295,0.7018
RobustScaler,7,0.7368,0.8202,0.8391,0.8295,0.7499
StandardScaler,9,0.7368,0.8276,0.8276,0.8276,0.7165
MinMaxScaler,9,0.7193,0.8235,0.8046,0.814,0.6701
NoScaler,3,0.7193,0.8022,0.8391,0.8202,0.6811
StandardScaler,7,0.7193,0.8161,0.8161,0.8161,0.6971
Normalizer,9,0.7193,0.7835,0.8736,0.8261,0.5877
MinMaxScaler,5,0.7105,0.8214,0.7931,0.807,0.7295
MinMaxScaler,3,0.7105,0.8293,0.7816,0.8047,0.7054
RobustScaler,3,0.7105,0.814,0.8046,0.8092,0.6726
StandardScaler,5,0.7018,0.8046,0.8046,0.8046,0.6869
Normalizer,7,0.7018,0.7849,0.8391,0.8111,0.5528
StandardScaler,3,0.6842,0.8312,0.7356,0.7805,0.6739
RobustScaler,9,0.6842,0.7931,0.7931,0.7931,0.7307
Normalizer,5,0.6579,0.7727,0.7816,0.7771,0.5392
Normalizer,3,0.6404,0.7674,0.7586,0.763,0.5145
