Scaler,k,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,3,0.6842,0.8667,0.65,0.7429,0.7471
RobustScaler,5,0.6842,0.8667,0.65,0.7429,0.7857
RobustScaler,3,0.6754,0.8644,0.6375,0.7338,0.7943
RobustScaler,7,0.6667,0.85,0.6375,0.7286,0.7752
RobustScaler,9,0.6579,0.8475,0.625,0.7194,0.7651
StandardScaler,5,0.6579,0.8596,0.6125,0.7153,0.7211
StandardScaler,7,0.6491,0.8571,0.6,0.7059,0.7015
StandardScaler,3,0.6404,0.8095,0.6375,0.7133,0.7116
MinMaxScaler,5,0.6316,0.8167,0.6125,0.7,0.6485
NoScaler,7,0.6228,0.8364,0.575,0.6815,0.7184
MinMaxScaler,7,0.614,0.8333,0.5625,0.6716,0.6575
NoScaler,5,0.614,0.8333,0.5625,0.6716,0.7154
MinMaxScaler,3,0.614,0.7571,0.6625,0.7067,0.6711
StandardScaler,9,0.6053,0.8431,0.5375,0.6565,0.6906
MinMaxScaler,9,0.5965,0.8269,0.5375,0.6515,0.6656
Normalizer,5,0.5877,0.8113,0.5375,0.6466,0.6412
Normalizer,3,0.5789,0.7759,0.5625,0.6522,0.6173
Normalizer,7,0.5789,0.7963,0.5375,0.6418,0.6182
NoScaler,9,0.5614,0.8125,0.4875,0.6094,0.6996
Normalizer,9,0.5526,0.7959,0.4875,0.6047,0.5991
